Effective Starting Date,Annual Allowable Percent Increase
04/01/1982,7.0
03/01/1983,7.0
03/01/1984,4.0
03/01/1985,4.0
03/01/1986,4.0
03/01/1987,4.0
03/01/1988,4.0
03/01/1989,4.0
03/01/1990,4.0
03/01/1991,4.0
03/01/1992,4.0
12/08/1992,1.6
03/01/1993,1.9
03/01/1994,1.3
03/01/1995,1.1
03/01/1996,1.0
03/01/1997,1.8
03/01/1998,2.2
03/01/1999,1.7
03/01/2000,2.9
03/01/2001,2.8
03/01/2002,2.7
03/01/2003,0.8
03/01/2004,0.6
03/01/2005,1.2
03/01/2006,1.7
03/01/2007,1.5
03/01/2008,2.0
03/01/2009,2.2
03/01/2010,0.1
03/01/2011,0.5
03/01/2012,1.9
03/01/2013,1.9
03/01/2014,1.0
03/01/2015,1.9
03/01/2016,1.6
03/01/2017,2.2
03/01/2018,1.6
03/01/2019,2.6
